"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","isbn","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2018","1","22","Enemy of the State",,"Vince Flynn","Fiction, Literature, Thriller","Simon & Schuster, Inc.","2017"
"Digital","Hoopla","TELEVISION","2018","1","1","Newspaper Mom / Cucumber in Rio / Donut Raffle",,,"Children's","DHX Media",
"Physical","Horizon","SOUNDDISC","2018","1","1","Mono / the Mavericks.",,"Mavericks (Musical group)","Country music 2011 2020","Valory,","[2015]"
"Digital","OverDrive","EBOOK","2018","1","2","Anna Karenina",,"Leo Tolstoy","Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.","2009"
"Digital","OverDrive","EBOOK","2018","1","1","Dragon: Vlad Series, Book 8",,"Steven Brust","Fantasy, Fiction","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2018","1","1","Little Dorrit",,"Charles Dickens","Classic Literature, Fiction, Literature","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2018","1","2","The Inside Out Man",,"Fred Strydom","Fiction, Horror, Suspense, Thriller","Lightning Source Inc","2017"
"Physical","Horizon","BOOK","2018","2","1","Spain : a history / edited by Raymond Carr.",,,"Spain History","Oxford University Press,","2000."
"Digital","OverDrive","EBOOK","2018","2","1","Krik? Krak!",,"Edwidge Danticat","Fiction, Literature, Short Stories","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2018","2","1","Cleopatra (Unabridged)",,"H. Rider Haggard","Fiction, Literature","Blackstone Audio, Inc.","2008"
"Digital","Hoopla","TELEVISION","2018","2","1","1410  Tannenberg-Cataclysm of Knights",,,"Educational, History","The Great Courses",
"Digital","OverDrive","EBOOK","2018","2","4","Starlings",,"Jo Walton","Fantasy, Fiction, Mythology, Short Stories","Lightning Source Inc","2018"
"Digital","OverDrive","AUDIOBOOK","2018","2","20","Matilda (Unabridged)",,"Roald Dahl","Fantasy, Juvenile Fiction","Books on Tape","2014"
"Digital","Hoopla","COMIC","2018","2","1","Cable & Deadpool: Deadpool Vs. The Marvel Universe",,,"Superhero, Teen","Marvel Entertainment",
"Digital","OverDrive","AUDIOBOOK","2018","2","4","The Power of Sleep (Unabridged)",,"Kelly Howell","Nonfiction, Self-Improvement","Books on Tape","2008"
"Digital","Hoopla","MOVIE","2018","2","1","League Of Denial: The NFL's Concussion Crisis",,,"Documentary, Football, Sports","PBS",
"Digital","OverDrive","AUDIOBOOK","2018","2","3","Phantom Instinct (Unabridged)",,"Meg Gardiner","Fiction, Mystery","Blackstone Audio, Inc.","2014"
"Digital","OverDrive","EBOOK","2018","2","1","A Death in Valencia",,"Jason Webster","Fiction, Mystery","Macmillan Publishers","2016"
"Digital","Hoopla","COMIC","2018","2","2","Anarky: The Complete Collection",,,"Action & Adventure, Crime, Superhero, Teen","DC Comics",
"Digital","Hoopla","COMIC","2018","3","1","Batman: The Long Halloween",,,"Media Tie-In, Superhero","DC Comics",
"Physical","Horizon","BOOK","2018","3","1","Salvo el crepúsculo / Julio Cortázar.",,"Cortázar, Julio",,"Alfaguara,","[1985]"
"Digital","Hoopla","TELEVISION","2018","3","1","Tomatoes…You Say Heirloom, I Say Old Timey",,,"Food & Cooking","PBS",
"Physical","Horizon","SOUNDDISC","2018","3","1","Old school jams 5.",,,"Popular music, Funk Music","SPG Music,","[2004]"
"Digital","Freegal","SONG","2018","3","2","I Believe I Can Fly",,"R. Kelly",,,
"Digital","OverDrive","EBOOK","2018","3","1","Wayne of Gotham",,"Tracy Hickman","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Physical","Horizon","BOOK","2018","3","2","India.",,,"India Description and travel, India Guidebooks","Doris Kindersley Limited,","2017."
"Digital","OverDrive","EBOOK","2018","3","5","I'd Know You Anywhere: A Novel",,"Laura Lippman","Fiction, Mystery","HarperCollins Publishers Inc.","2010"
"Digital","Freegal","SONG","2018","3","1","Six Morceaux, Op. 19: V. Capriccioso",,"Piotr Ilyich Tchaikovsky,Valery Vishnevsky",,,
"Digital","OverDrive","EBOOK","2018","3","2","The Deep End of the Ocean",,"Jacquelyn Mitchard","Fiction, Literature","Penguin Group (USA), Inc.","2009"
"Digital","Freegal","SONG","2018","3","1","What to Do with the Neutral (Live, In Studio at 107.7 the End Seattle)",,"Mudhoney",,,
"Physical","Horizon","BOOK","2018","3","1","By the Iowa sea : a memoir / Joe Blair.",,"Blair, Joe, 1962-","Blair Joe 1962","Scribner,","2012."
"Digital","OverDrive","EBOOK","2018","3","2","The Mysterious Mr. Quin",,"Agatha Christie","Fiction, Mystery","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","EBOOK","2018","3","1","Secondhand Charm",,"Julie Berry","Fantasy, Young Adult Fiction","Bloomsbury USA","2010"
"Digital","OverDrive","EBOOK","2018","3","3","Apex: Nexus Trilogy Book 3",,"Ramez Naam","Fiction, Science Fiction, Thriller","Random House, Inc.","2016"
"Digital","Freegal","SONG","2018","3","1","High on the Hog",,"Tommy Castro,The Legendary Rhythm & Blues Revue",,,
"Physical","Horizon","SOUNDDISC","2018","3","1","Clear heart full eyes / Craig Finn.",,"Finn, Craig","Rock music 2011 2020","Vagrant,","[2011]"
"Digital","Hoopla","COMIC","2018","3","1","Winnebago Graveyard",,,"Fiction, Horror","Image Comics",
"Digital","OverDrive","EBOOK","2018","3","2","More Than This",,"Patrick Ness","Young Adult Fiction, Young Adult Literature","Candlewick Press","2013"
"Digital","Hoopla","COMIC","2018","4","1","Powerpuff Girls",,,"Action & Adventure, Children's, Media Tie-In, Superhero","IDW Publishing",
"Digital","OverDrive","AUDIOBOOK","2018","4","1","The Vaults (Unabridged)",,"Toby Ball","Fiction, Mystery","Iambik Audio","2014"
"Digital","OverDrive","EBOOK","2018","5","3","How to Listen to Jazz",,"Ted Gioia","History, Music, Nonfiction","Hachette Digital, Inc.","2016"
"Digital","OverDrive","EBOOK","2018","5","2","Love, Chloe",,"Alessandra Torre","Fiction, Humor (Fiction), Romance","Lightning Source Inc","2016"
"Physical","Horizon","SOUNDDISC","2018","8","2","Blues Traveler.",,"Blues Traveler (Musical group)","Rock music 1981 1990","A&M Records,","[1990]"
"Physical","Horizon","BOOK","2018","8","2","Zen of drawing / Peter Parr.",,"Parr, Peter","Drawing Technique, Zen art","Batsford,","2015."
"Digital","OverDrive","EBOOK","2018","8","2","In Arabian Nights",,"Tahir Shah","Nonfiction, Travel","Random House, Inc.","2010"
"Physical","Horizon","BOOK","2018","9","1","Robert Asprin's myth-fits / Jody Lynn Nye.",,"Nye, Jody Lynn, 1957-","Fantasy fiction","Ace,","2016."
"Physical","Horizon","SOUNDDISC","2018","9","1","American piano concertos.",,"Wang, Xiayin","Concertos Piano","Chandos,","p2013."
"Digital","OverDrive","EBOOK","2018","10","4","Invitation to a Bonfire",,"Adrienne Celt","Fiction, Literature","Bloomsbury USA","2018"
"Digital","OverDrive","EBOOK","2018","11","18","And Then There Were None",,"Agatha Christie","Fiction, Mystery","HarperCollins Publishers Inc.","2006"
"Physical","Horizon","SOUNDDISC","2018","11","1","All time gospel 4.",,,"Gospel music","United Audio Entertainment,","[2013]"
"Digital","OverDrive","EBOOK","2018","12","3","Love Is Murder",,"Sandra Brown","Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.","2013"
"Digital","OverDrive","EBOOK","2018","12","3","Monkey Play",,"Alyssa Satin Capucilli","Beginning Reader, Juvenile Fiction","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2018","12","1","The History of Cuba",,"Clifford L. Staten","History, Nonfiction","ABC-CLIO","2010"
"Digital","OverDrive","EBOOK","2018","12","2","First Date",,"Krista McGee","Christian Fiction, Romance, Young Adult Fiction","Thomas Nelson Inc.","2012"
"Physical","Horizon","SOUNDDISC","2018","12","2","Pure funk.",,,"Disco music, Funk Music, Popular music 1971 1980, Popular music 1981 1990","PolyGram TV,","[1998]"
"Digital","OverDrive","AUDIOBOOK","2018","12","3","I Liked My Life: A Novel (unabridged) (Unabridged)",,"Abby Fabiaschi","Fiction, Literature","Macmillan Audio","2017"
"Digital","OverDrive","EBOOK","2018","12","1","The Story of French",,"Jean-Benoit Nadeau","History, Language Arts, Nonfiction","Macmillan Publishers","2013"
"Physical","Horizon","BOOK","2018","12","8","The only story / Julian Barnes.",,"Barnes, Julian","Man woman relationships Fiction, Psychological fiction, Bildungsromans","Alfred A. Knopf,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","Caesar and Christ; a history of Roman civilization and of Christianity from their beginnings to A.D. 325.",,"Durant, Will, 1885-1981","Civilization History, Rome Civilization","Simon & Schuster,","1944."
"Physical","Horizon","BOOK","2018","12","1","Dark magic / Christine Feehan.",,"Feehan, Christine","Magicians Fiction, Vampires Fiction, New Orleans La Fiction, Paranormal romance stories","Avon,","[2010]"
"Physical","Horizon","BOOK","2018","12","1","The art of perspective / Yves Leblanc.",,"LeBlanc, Yves","Perspective, Drawing Technique","New Holland Publishers Ltd.,","2011."
"Digital","OverDrive","EBOOK","2018","12","1","Who Was Ben Franklin?",,"Dennis Brindell Fradin","Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2018","12","1","The Prometheus man / Scott Reardon.",,"Reardon, Scott","United States Central Intelligence Agency Officials and employees Fiction, Thrillers Fiction, Spy fiction","Mulholland Books, Little, Brown and Company,","2017."
"Physical","Horizon","BOOK","2018","12","1","Stuart goes to school / by Sara Pennypacker ; illustrated by Martin Matje.",,"Pennypacker, Sara, 1951-","First day of school Juvenile fiction, Worry Juvenile fiction, Anxiety in children Juvenile fiction, Anxiety Juvenile fiction, Magic Fiction","Orchard Books,","2003."
"Digital","OverDrive","EBOOK","2018","12","2","A Christmas Secret: Christmas Story Series, Book 4",,"Anne Perry","Fiction, Historical Fiction, Mystery","Random House, Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2018","12","12","Red Notice: A True Story of High Finance, Murder and One Man's Fight for Justice (unabridged) (Unabridged)",,"Bill Browder","Business, Nonfiction","Recorded Books, LLC","2018"
"Physical","Horizon","BOOK","2018","12","1","Alice in bed / Cathleen Schine.",,"Schine, Cathleen","Hospital patients Fiction, Women patients Fiction, New York N Y Fiction, Humorous fiction, Medical novels","Picador,","2012."
"Digital","OverDrive","EBOOK","2018","12","6","In Other Lands",,"Sarah Rees Brennan","Fantasy, Folklore, Young Adult Fiction","Lightning Source Inc","2017"
"Physical","Horizon","BOOK","2018","12","2","Promise / a novel by Judy Young.",,"Young, Judy, 1956-","Conduct of life Juvenile fiction, Children of prisoners Juvenile fiction, Secrecy Juvenile fiction, Fathers and sons Juvenile fiction, Ex convicts Juvenile fiction, Middle schools Juvenile fiction, Grandparents as parents Juvenile fiction, Crows as pets Juvenile fiction","Sleeping Bear Press,","[2015]"
"Digital","OverDrive","EBOOK","2018","12","1","The Favored Child: Wideacre Trilogy, Book 2",,"Philippa Gregory","Fiction, Historical Fiction","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Cutting Edge: A Novel (unabridged) (Unabridged)",,"Ward Larsen","Fiction, Thriller","Macmillan Audio","2018"
"Physical","Horizon","BOOK","2018","12","1","The rope / Nevada Barr.",,"Barr, Nevada","Pigeon Anna Fictitious character Fiction, Temporary employees Fiction, Imprisonment Fiction, Large type books, Glen Canyon National Recreation Area Utah and Ariz Fiction, Mystery fiction","Wheeler Pub.,","2012."
"Physical","Horizon","BOOK","2018","12","2","Washington / Matthew Lombardi.",,"Lombardi, Matthew","Washington State Guidebooks","Avalon Travel,","2016."
"Physical","Horizon","BOOK","2018","12","2","What's it all about? : an autobiography / Michael Caine.",,"Caine, Michael","Caine Michael, Motion picture actors and actresses Great Britain Biography","Turtle Bay Books,","1992."
"Physical","Horizon","BOOK","2018","12","1","Wing nuts : screwy haiku / by Paul B. Janeczko and J. Patrick Lewis ; illustrated by Tricia Tusa.",,"Janeczko, Paul B.","Childrens poetry American Juvenile literature, Senryu American Juvenile literature, American poetry Juvenile literature, Haiku","Little, Brown,","2006."
"Digital","OverDrive","EBOOK","2018","12","2","The Girls' Guide to Hunting and Fishing",,"Melissa Bank","Fiction, Literature","Penguin Group (USA), Inc.","2013"
"Digital","Freegal","SONG","2018","1","2","Live and Let Die",,"Wings",,,
"Digital","Freegal","SONG","2018","1","1","Worth It",,"Fifth Harmony",,,
"Digital","Freegal","SONG","2018","1","1","3.T.",,"Jan-Olaf Rodt Quartet",,,
"Digital","Freegal","SONG","2018","1","1","Books About UFOs",,"Husker Du",,,
"Digital","Freegal","SONG","2018","1","1","1000 Times",,"Sara Bareilles",,,
"Physical","Horizon","BOOK","2018","12","2","Zoo / by Rebecca Pettiford.",,"Pettiford, Rebecca","Zoos Juvenile literature, Zoo animals Juvenile literature, School field trips Juvenile literature","Jump!, Inc.,","[2016]"
"Digital","Freegal","SONG","2018","1","1","Changes",,"Chris Lake",,,
"Digital","Freegal","SONG","2018","1","1","Let's Make It",,"AC/DC",,,
"Digital","Freegal","SONG","2018","1","1","Stars",,"Jackie Thomas",,,
"Digital","Freegal","SONG","2018","1","1","Wang Chun Fen",,"Jo-Yu Chen",,,
"Digital","Freegal","SONG","2018","1","1","Nappy Heads: Remix",,"Fugees",,,
"Digital","Freegal","SONG","2018","1","1","Mystery Disease",,"MGMT",,,
"Digital","Freegal","SONG","2018","1","1","In The Clear",,"Foo Fighters",,,
"Digital","Freegal","SONG","2018","1","1","Believer",,"Mary Mary",,,
"Digital","Freegal","SONG","2018","1","1","Jibber-Jabber",,"Supersuckers",,,
"Digital","Freegal","SONG","2018","1","1","Charro!",,"Elvis Presley",,,
"Digital","Hoopla","MOVIE","2018","1","1","The Truth About Lies",,,"Comedy","Level 33 Entertainment",
"Digital","Freegal","SONG","2018","1","1","Hangin' On For Dear Life",,"Go West",,,
"Digital","Freegal","SONG","2018","1","1","Swing Low, Sweet Chariot",,"Alex de Grassi",,,
"Digital","Freegal","SONG","2018","1","1","Fear Not Mary",,"Will Ackerman;Nick Berry",,,
"Digital","Freegal","SONG","2018","1","1","Honky Tonk Flame",,"Tyler Childers",,,
"Digital","Freegal","SONG","2018","1","1","Innocent Voices (Jay's 2014 Mix)",,"Muse",,,
"Digital","Hoopla","MUSIC","2018","1","3","Hear Us Roar",,,"Pop","UMG Recordings, Inc.",
"Digital","Freegal","SONG","2018","1","1","Love You Long Time",,"Pentatonix",,,
"Digital","Freegal","SONG","2018","1","1","Death Don't Have No Mercy",,"Hot Tuna",,,
"Digital","Freegal","SONG","2018","1","1","Mar Desconocido",,"Pink Martini",,,
"Digital","Hoopla","TELEVISION","2018","1","2","Nice Work If You Can Get It",,,"Anime, Teen","Filmhub",
"Digital","Freegal","SONG","2018","1","1","Too Many Miracles",,"Badly Drawn Boy",,,
"Digital","Hoopla","TELEVISION","2018","1","6","Murder is Easy",,,"Crime, Mystery","Acorn",
"Digital","Freegal","SONG","2018","1","1","I Could Be So Good To You",,"Don & The Goodtimes",,,
"Digital","Hoopla","MUSIC","2018","1","1","Under Rug Swept",,,"Pop","Reprise/Maverick",
"Digital","Freegal","SONG","2018","1","1","Santa Bring My Baby Back (To Me)",,"Elvis Presley",,,
"Digital","Freegal","SONG","2018","1","1","1812 Overture",,"Budapest Philharmonic Orchestra",,,
"Digital","Freegal","SONG","2018","1","1","Killin It (feat. OYG) [Joe Styles Remix]",,"Sick Team",,,
"Digital","Freegal","SONG","2018","1","1","Thin Line Between Love and Hate (Live)",,"The Persuaders",,,
"Digital","Freegal","SONG","2018","1","1","Climbing Through",,"The Authentics",,,
"Digital","Freegal","SONG","2018","1","1","Toccata & Fugue In D Minor",,"The Hit Crew",,,
"Digital","OverDrive","EBOOK","2018","1","2","Smut",,"Karina Halle","Fiction, Romance","Smashwords, Inc.","2016"
"Digital","Freegal","SONG","2018","1","1","Art of Darkness",,"Jo-Yu Chen",,,
"Digital","Hoopla","MUSIC","2018","1","2","When Was The Last Time",,,"Country","Capitol Records Nashville",
"Digital","Hoopla","MOVIE","2018","1","1","Blurred Lines",,,"Documentary","Gravitas Ventures",
"Digital","Freegal","SONG","2018","1","1","Katjuscha",,"Golden Ring Ensemble",,,
"Digital","Hoopla","TELEVISION","2018","1","3","The Curse of Beaton Manor",,,"Crime, Mystery","Acorn",
"Digital","Hoopla","MOVIE","2018","1","2","The Frozen Ground",,,"Suspense / Thriller","Lionsgate",
"Digital","Freegal","SONG","2018","1","1","Hello",,"Felix Slovacek,Lionel Richie,Big Band Radio Praha",,,
"Digital","Freegal","SONG","2018","1","1","I Hate My Frickin I.S.P.",,"Todd Rundgren",,,
"Digital","Hoopla","MOVIE","2018","1","1","The Beat Hotel",,,"Documentary","First Run Features",
"Digital","Freegal","SONG","2018","1","1","Space Transmission",,"Porcupine Tree",,,
"Digital","Freegal","SONG","2018","1","2","Nakamarra (feat. Q-Tip)",,"Hiatus Kaiyote feat. Q-Tip",,,
"Digital","Hoopla","TELEVISION","2018","1","1","Hot Lunch",,,"Comedy","Viacom",
"Digital","Freegal","SONG","2018","1","4","Mama Always Told Me",,"G-Eazy feat. Madison Love",,,
"Digital","Hoopla","TELEVISION","2018","1","1","The Final",,,"Food & Cooking","PBS",
"Digital","Freegal","SONG","2018","1","1","The Blue and Grey",,"John Williams",,,
"Digital","Freegal","SONG","2018","1","1","Lonesome Road Blues",,"Flatt & Scruggs",,,
"Digital","Freegal","SONG","2018","1","1","Long Train Runnin': Live",,"The Doobie Brothers",,,
"Digital","Freegal","SONG","2018","1","1","Otha N***as",,"Chris Brown",,,
"Digital","Freegal","SONG","2018","1","4","Summer Breeze",,"Chris Brown",,,
"Digital","Freegal","SONG","2018","1","1","Pearly Shells",,"Columbia River Group Entertainment",,,
"Digital","Hoopla","TELEVISION","2018","1","1","Asia",,,"History","PBS",
"Digital","Freegal","SONG","2018","1","1","Wanted (Live in Madrid)",,"The Cranberries",,,
"Digital","Freegal","SONG","2018","1","1","Cold Shot: Live",,"Stevie Ray Vaughan & Double Trouble",,,
"Digital","Hoopla","MUSIC","2018","1","1","Dinner Party",,,"Pop","UMG Recordings, Inc.",
"Physical","Horizon","SOUNDDISC","2018","1","2","The best of Broadway : the American musical.",,,"Musicals Excerpts","Decca Broadway,","[2004]"
"Digital","OverDrive","AUDIOBOOK","2018","1","4","Sing You Home (Unabridged)",,"Jodi Picoult","Fiction, Literature","Recorded Books, LLC","2016"
"Digital","OverDrive","EBOOK","2018","1","2","Playing Dirty",,"Susan Andersen","Fiction, Romance","Harlequin Enterprises, Ltd.","2012"
"Digital","Freegal","SONG","2018","1","1","So Far: alternate take",,"Frank Sinatra",,,
"Digital","OverDrive","EBOOK","2018","1","1","Hunted",,"Karen Robards","Fiction, Romance, Suspense","Simon & Schuster, Inc.","2014"
"Digital","Hoopla","MOVIE","2018","1","1","The Final Member",,,"Canadian, Documentary, World","Drafthouse Films",
"Digital","Hoopla","MUSIC","2018","1","1","Achtung Baby",,,"Rock","A&M",
"Digital","OverDrive","EBOOK","2018","1","1","Chomsky on Anarchism",,"Noam Chomsky","Essays, Nonfiction, Politics","Perseus Books Group","2010"
"Digital","OverDrive","EBOOK","2018","1","2","Timon of Athens",,"William Shakespeare","Drama, Fiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2018","1","1","The White Plague",,"Frank Herbert","Fiction, Science Fiction","Macmillan Publishers","2013"
"Digital","OverDrive","EBOOK","2018","1","2","Momofuku Milk Bar",,"Christina Tosi","Cooking & Food, Nonfiction","Random House, Inc.","2011"
"Digital","OverDrive","AUDIOBOOK","2018","1","2","Empire Falls (Unabridged)",,"Richard Russo","Fiction, Literature","Books on Tape","2011"
"Digital","OverDrive","EBOOK","2018","1","4","Joy in the Morning",,"P. G. Wodehouse","Fiction, Humor (Fiction)","W. W. Norton & Company","2015"
"Digital","Hoopla","TELEVISION","2018","1","1","Aperture and Depth of Field",,,"Educational, How To","The Great Courses",
"Digital","OverDrive","EBOOK","2018","1","4","Ordinary Beast",,"Nicole Sealey","Fiction, Poetry","HarperCollins Publishers Inc.","2017"
"Digital","OverDrive","EBOOK","2018","1","13","Heroes of the Frontier",,"Dave Eggers","Fiction, Literature, Thriller","Random House, Inc.","2016"
"Digital","Hoopla","MUSIC","2018","1","1","Morocco",,,"Electronic","Blipswitch Digital",
"Physical","Horizon","SOUNDDISC","2018","1","1","Le Tigre.",,"Tigre (Punk rock group)","Rock music 1991 2000","Le Tigre Records,","[2004]"
"Physical","Horizon","BOOK","2018","1","1","Arizona / by Bill Weir.",,"Weir, Bill, 1951-","Arizona Guidebooks","National Geographic,","2011."
"Digital","Freegal","SONG","2018","1","1","+Orrchida",,"Integrity",,,
"Digital","Freegal","SONG","2018","1","1","Makes Me Love You",,"The Handsome Charlies",,,
"Digital","OverDrive","EBOOK","2018","1","1","The Bishop's Daughter",,"Tiffany L. Warren","Fiction, Literature","Hachette Digital, Inc.","2012"
"Digital","Hoopla","TELEVISION","2018","1","1","The Neuroscience of Lasting Love",,,"Educational, Health & Fitness","The Great Courses",
"Digital","Freegal","SONG","2018","1","1","Rigya Samten (Song in Praise of His Holiness)",,"Namgyal Lhamo",,,
"Digital","Hoopla","COMIC","2018","1","1","PEP Digital: B&V Friends: Girls  Rule!",,,"Children's, Humorous, Media Tie-In","Archie",
"Digital","Freegal","SONG","2018","1","1","Smile",,"Tony Bennett duet with Barbra Streisand",,,
"Physical","Horizon","BOOK","2018","1","1","Glass lunch / Robert Hunter.",,"Hunter, Robert, 1941 June 23-",,"Penguin Books,","1997."
"Digital","OverDrive","AUDIOBOOK","2018","1","2","Untold Story (Unabridged)",,"Monica Ali","Fiction, Literature","Recorded Books, LLC","2017"
"Digital","OverDrive","EBOOK","2018","1","1","Seating Arrangements",,"Maggie Shipstead","Fiction, Literature","Random House, Inc.","2012"
"Physical","Horizon","SOUNDDISC","2018","1","1","Destroyed / Moby.",,"Moby","Popular music 2011 2020, Electronic dance music","Mute,","[2011]"
"Digital","OverDrive","EBOOK","2018","1","7","2BR02B",,"Kurt Vonnegut","Fiction, Science Fiction, Short Stories","Duke Classics","2018"
"Digital","OverDrive","EBOOK","2018","1","27","The Road",,"Cormac McCarthy","Fiction, Literature","Random House, Inc.","2008"
"Digital","Hoopla","MUSIC","2018","1","3","Annie: The Broadway Musical 30th Anniversary Cast Recording",,,"Soundtrack","Time-Life Music",
"Digital","Hoopla","MUSIC","2018","1","1","Something To Remember (U.S. Version)",,,"Pop","Warner Bros.",
"Digital","OverDrive","EBOOK","2018","1","3","Warrior of the Light",,"Paulo Coelho","Fiction","HarperCollins Publishers Inc.","2006"
"Digital","Freegal","SONG","2018","1","1","Sunday Morning Paper",,"Turnpike Troubadours",,,
"Digital","Freegal","SONG","2018","1","1","I Love You Because",,"Jim Reeves",,,
"Digital","Freegal","SONG","2018","1","1","Tune Up",,"Amos Trice,Sonny Stitt,George Morrow,Lennie McBrowne",,,
"Physical","Horizon","BOOK","2018","1","1","The breaker / Minette Walker.",,"Walters, Minette","Large type books","Compass Press,","1999."
"Physical","Horizon","SOUNDDISC","2018","1","1","White music / XTC.",,"XTC (Musical group)","Rock music 1971 1980","Ape House,","[2013]"
"Digital","OverDrive","AUDIOBOOK","2018","1","2","Ways to Disappear (Unabridged)",,"Idra Novey","Fiction, Literature","Hachette Audio","2016"
"Digital","Hoopla","MUSIC","2018","1","1","Baraka: The Deluxe Edition (Original Motion Picture Soundtrack)",,,"Soundtrack","Varese Sarabande",
"Digital","OverDrive","EBOOK","2018","1","2","Schindler's List",,"Thomas Keneally","Fiction, Historical Fiction","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2018","1","1","The Body Where I Was Born",,"Guadalupe Nettel","Fiction, Literature","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2018","1","1","HHhH: A Novel",,"Laurent Binet","Fiction, Literature","Macmillan Publishers","2013"
"Digital","Hoopla","COMIC","2018","1","20","The Legend Of Zelda: Art & Artifacts",,,"Children's, Fiction","Dark Horse Comics",
"Digital","OverDrive","EBOOK","2018","1","1","Losing It",,"Cora Carmack","Fiction, Romance","HarperCollins Publishers Inc.","2013"
"Digital","OverDrive","EBOOK","2018","1","4","Freaky Deaky",,"Elmore Leonard","Fiction","HarperCollins Publishers Inc.","2005"
"Digital","OverDrive","AUDIOBOOK","2018","1","5","The Terror (Unabridged)",,"Dan Simmons","Fiction, Literature","Books on Tape","2007"
"Physical","Horizon","BOOK","2018","1","1","Crochet : step by step / Sally Harding.",,"Harding, Sally","Crocheting Technique","Dk Publishing,","2013."
"Physical","Horizon","SOUNDDISC","2018","1","2","Wasting light / Foo Fighters.",,"Foo Fighters (Musical group)","Rock music 2011 2020","RCA,","[2011]"
"Digital","OverDrive","EBOOK","2018","1","3","The Toyota Way Fieldbook",,"Jeffrey K. Liker","Business, Nonfiction","McGraw-Hill Professional","2009"
"Physical","Horizon","SOUNDDISC","2018","1","2","Riser / Dierks Bentley.",,"Bentley, Dierks","Country music 2011 2020","Capitol Nashville,","p2014."
"Digital","OverDrive","EBOOK","2018","1","1","Alternate Realities",,"C. J. Cherryh","Fiction, Science Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2018","1","1","Philosophy Made Simple",,"Robert Hellenga","Fiction, Literature","Hachette Digital, Inc.","2013"
"Digital","OverDrive","EBOOK","2018","1","3","Sparrow",,"Sarah Moon","Young Adult Fiction, Young Adult Literature","Scholastic, Inc. (US)","2017"
"Digital","OverDrive","EBOOK","2018","1","4","Blindness",,"José Saramago","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2011"
"Physical","Horizon","BOOK","2018","1","1","Speak for the dead / Margaret Yorke.",,"Yorke, Margaret",,"Viking,","1988."
"Physical","Horizon","BOOK","2018","1","1","Lord of chaos / Robert Jordan.",,"Jordan, Robert, 1948-2007","Fantasy fiction","TOR,","1994."
"Physical","Horizon","BOOK","2018","1","13","Airplanes / Byron Barton.",,"Barton, Byron","Airplanes Juvenile literature","T.Y. Crowell,","[1986]"
"Digital","OverDrive","EBOOK","2018","1","1","Runaway Man: A Mystery",,"David Handler","Fiction, Mystery","Macmillan Publishers","2015"
"Digital","Zinio","MAGAZINE","2018","1","49","Family Circle",,,,,
"Digital","OverDrive","EBOOK","2018","1","2","The Turning: Stories",,"Tim Winton","Fiction, Literature, Short Stories","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","AUDIOBOOK","2018","1","1","The House (Unabridged)",,"Danielle Steel","Fiction, Romance","Books on Tape","2008"
"Digital","OverDrive","EBOOK","2018","1","52","Don't Let Go",,"Harlan Coben","Fiction, Suspense, Thriller","Penguin Group (USA), Inc.","2017"
"Digital","OverDrive","EBOOK","2018","1","4","Straight from the Hip",,"Susan  Mallery","Fiction, Romance","Harlequin Enterprises, Ltd.","2009"
"Digital","OverDrive","EBOOK","2018","1","1","Enchanted No More",,"Robin D. Owens","Fantasy, Fiction, Romance","Harlequin Enterprises, Ltd.","2011"
"Digital","Hoopla","MOVIE","2018","1","1","The Humbling",,,"Comedy, Drama, Romance, Romantic, Romantic Comedy","Alchemy",
"Physical","Horizon","BOOK","2018","1","1","Maybe this time / Jennifer Crusie.",,"Crusie, Jennifer","Nannies Fiction, Haunted houses Fiction, Large type books, Humorous fiction, Love stories, Ghost stories, Domestic fiction","Center Point Pub.,","2010."
"Physical","Horizon","BOOK","2018","1","1","Bienestar emocional / Osho ; traducción de Esperanza Moriones.",,"Osho, 1931-1990,","Emotions","Debolsillo,","2017."
